"Total_name","Total_value","country_name","country_total_cases","country_total_deaths"
"Coronavirus Cases:","75,442,628","","",""
"Deaths:","1,671,560","","",""
"Recovered:","53,000,198","","",""
"","","USA","17,628,578","317,929"
"","","India","9,979,447","144,829"
"","","Brazil","7,111,527","184,876"
"","","Russia","2,791,220","49,762"
"","","France","2,427,316","59,619"
"","","Turkey","1,955,680","17,364"
"","","UK","1,948,660","66,052"
"","","Italy","1,906,377","67,220"
"","","Spain","1,805,633","48,777"
"","","Argentina","1,524,372","41,534"
"","","Colombia","1,468,795","39,787"
"","","Germany","1,447,660","25,361"
"","","Mexico","1,289,298","116,487"
"","","Poland","1,182,864","24,771"
"","","Iran","1,145,651","53,273"
"","","Peru","991,518","36,901"
"","","Ukraine","944,381","16,256"
"","","South Africa","892,813","24,011"
"","","Netherlands","652,525","10,321"
"","","Indonesia","650,197","19,514"
"","","Belgium","618,204","18,371"
"","","Czechia","610,006","10,163"
"","","Romania","582,786","14,157"
"","","Iraq","581,811","12,670"
"","","Chile","578,732","16,007"
"","","Bangladesh","498,293","7,217"
"","","Canada","488,638","13,916"
"","","Philippines","456,562","8,875"
"","","Pakistan","451,494","9,164"
"","","Morocco","409,746","6,804"
"","","Switzerland","403,989","6,541"
"","","Israel","369,272","3,056"
"","","Sweden","367,120","7,993"
"","","Portugal","362,616","5,902"
"","","Saudi Arabia","360,690","6,101"
"","","Austria","334,913","5,127"
"","","Hungary","295,977","7,725"
"","","Serbia","292,640","2,580"
"","","Jordan","269,806","3,496"
"","","Nepal","252,474","1,765"
"","","Ecuador","204,249","13,932"
"","","Georgia","204,003","2,002"
"","","Panama","203,295","3,481"
"","","Azerbaijan","195,422","2,133"
"","","UAE","191,150","630"
"","","Croatia","190,235","3,023"
"","","Bulgaria","188,288","6,339"
"","","Japan","187,103","2,739"
"","","Belarus","169,648","1,308"
"","","Dominican Republic","157,305","2,375"
"","","Costa Rica","156,388","1,980"
"","","Lebanon","153,049","1,248"
"","","Armenia","152,253","2,596"
"","","Bolivia","148,665","9,031"
"","","Kuwait","147,531","916"
"","","Slovakia","146,124","1,440"
"","","Kazakhstan","145,213","2,147"
"","","Qatar","141,716","242"
"","","Moldova","131,919","2,674"
"","","Guatemala","131,435","4,551"
"","","Greece","128,710","3,948"
"","","Denmark","128,321","1,007"
"","","Oman","127,019","1,483"
"","","Egypt","123,701","7,015"
"","","Palestine","119,612","1,097"
"","","Ethiopia","118,481","1,831"
"","","Tunisia","115,966","4,032"
"","","Honduras","115,474","3,021"
"","","Myanmar","114,198","2,398"
"","","Venezuela","109,081","975"
"","","Lithuania","106,210","972"
"","","Bosnia and Herzegovina","104,087","3,549"
"","","Slovenia","103,555","2,274"
"","","Paraguay","97,028","2,032"
"","","Algeria","93,933","2,640"
"","","Libya","93,772","1,346"
"","","Kenya","93,405","1,618"
"","","Malaysia","90,816","432"
"","","Bahrain","89,743","349"
"","","China","86,789","4,634"
"","","Kyrgyzstan","78,679","1,324"
"","","Ireland","77,678","2,143"
"","","North Macedonia","76,251","2,225"
"","","Nigeria","76,207","1,201"
"","","Uzbekistan","75,675","612"
"","","Singapore","58,386","29"
"","","Ghana","53,553","331"
"","","Albania","51,424","1,055"
"","","Afghanistan","50,445","2,037"
"","","S. Korea","47,515","645"
"","","Luxembourg","43,279","428"
"","","Montenegro","42,995","614"
"","","Norway","42,776","404"
"","","El Salvador","42,397","1,234"
"","","Sri Lanka","35,763","160"
"","","Finland","32,582","489"
"","","Latvia","29,427","409"
"","","Uganda","29,361","228"
"","","Australia","28,094","908"
"","","Cameroon","25,472","445"
"","","Sudan","22,265","1,408"
"","","Ivory Coast","21,772","133"
"","","Estonia","20,658","168"
"","","Zambia","18,575","373"
"","","Namibia","18,041","169"
"","","Madagascar","17,587","259"
"","","Senegal","17,559","357"
"","","Mozambique","17,256","145"
"","","Cyprus","16,647","85"
"","","Angola","16,484","382"
"","","French Polynesia","16,118","101"
"","","DRC","15,089","366"
"","","Guinea","13,511","80"
"","","Maldives","13,418","48"
"","","Botswana","13,014","38"
"","","Tajikistan","12,888","89"
"","","French Guiana","12,163","71"
"","","Jamaica","11,968","279"
"","","Zimbabwe","11,866","314"
"","","Mauritania","11,805","254"
"","","Malta","11,569","183"
"","","Cabo Verde","11,502","110"
"","","Uruguay","11,436","105"
"","","Belize","9,791","213"
"","","Cuba","9,771","137"
"","","Syria","9,759","571"
"","","Haiti","9,627","234"
"","","Gabon","9,373","63"
"","","Réunion","8,588","42"
"","","Guadeloupe","8,524","154"
"","","Hong Kong","7,970","127"
"","","Bahamas","7,725","164"
"","","Andorra","7,466","79"
"","","Eswatini","7,093","135"
"","","Rwanda","7,032","57"
"","","Trinidad and Tobago","6,940","123"
"","","Congo","6,200","100"
"","","Malawi","6,138","187"
"","","Mali","6,049","211"
"","","Guyana","6,042","158"
"","","Nicaragua","5,938","163"
"","","Djibouti","5,770","61"
"","","Martinique","5,634","42"
"","","Mayotte","5,616","53"
"","","Iceland","5,604","28"
"","","Suriname","5,428","117"
"","","Equatorial Guinea","5,214","85"
"","","Aruba","5,124","47"
"","","CAR","4,936","63"
"","","Somalia","4,662","124"
"","","Burkina Faso","4,611","73"
"","","Thailand","4,297","60"
"","","Curaçao","3,823","11"
"","","Gambia","3,786","123"
"","","Togo","3,330","66"
"","","South Sudan","3,228","62"
"","","Benin","3,152","44"
"","","Lesotho","2,546","48"
"","","Niger","2,506","84"
"","","Sierra Leone","2,464","75"
"","","Guinea-Bissau","2,447","44"
"","","Channel Islands","2,389","48"
"","","New Zealand","2,110","25"
"","","Yemen","2,087","606"
"","","San Marino","2,049","54"
"","","Chad","1,818","102"
"","","Liberia","1,779","83"
"","","Liechtenstein","1,676","23"
"","","Vietnam","1,410","35"
"","","Sint Maarten","1,294","26"
"","","Gibraltar","1,184","6"
"","","Sao Tome and Principe","1,011","17"
"","","Mongolia","941",""
"","","Saint Martin","801","12"
"","","Turks and Caicos","772","6"
"","","Papua New Guinea","760","8"
"","","Taiwan","759","7"
"","","Burundi","751","1"
"","","Eritrea","741",""
"","","Diamond Princess","712","13"
"","","Monaco","700","3"
"","","Comoros","643","7"
"","","Faeroe Islands","534",""
"","","Mauritius","524","10"
"","","Tanzania","509","21"
"","","Bermuda","497","9"
"","","Bhutan","442",""
"","","Isle of Man","373","25"
"","","Cambodia","362",""
"","","Cayman Islands","310","2"
"","","Barbados","305","7"
"","","Saint Lucia","279","5"
"","","Seychelles","202",""
"","","Caribbean Netherlands","177","3"
"","","St. Barth","162","1"
"","","Brunei","152","3"
"","","Antigua and Barbuda","151","5"
"","","St. Vincent Grenadines","100",""
"","","Dominica","88",""
"","","Grenada","85",""
"","","British Virgin Islands","80","1"
"","","Fiji","46","2"
"","","Macao","46",""
"","","Laos","41",""
"","","New Caledonia","37",""
"","","Timor-Leste","31",""
"","","Saint Kitts and Nevis","28",""
"","","Vatican City","27",""
"","","Falkland Islands","23",""
"","","Greenland","19",""
"","","Solomon Islands","17",""
"","","Saint Pierre Miquelon","14",""
"","","Montserrat","13","1"
"","","Western Sahara","10","1"
"","","Anguilla","10",""
"","","MS Zaandam","9","2"
"","","Marshall Islands","4",""
"","","Wallis and Futuna","4",""
"","","Samoa","2",""
"","","Vanuatu","1",""
